,fecha,valoracion,gmap_id
0,2020-10-06 16:22:48.099,4,0x89ba97718dd7f71d:0x9dbb50b003f0b6ce
1,2021-06-28 15:06:14.422,3,0x89ba97718dd7f71d:0x9dbb50b003f0b6ce
2,2020-07-31 07:46:27.983,5,0x89ba97718dd7f71d:0x9dbb50b003f0b6ce
3,2020-08-22 22:26:47.262,5,0x89ba97718dd7f71d:0x9dbb50b003f0b6ce
4,2021-05-21 19:14:52.389,2,0x89ba97718dd7f71d:0x9dbb50b003f0b6ce
5,2021-04-17 14:24:24.441,4,0x89ba97718dd7f71d:0x9dbb50b003f0b6ce
6,2020-11-10 23:18:25.995,5,0x89ba97718dd7f71d:0x9dbb50b003f0b6ce
7,2020-08-15 21:58:12.241,4,0x89ba97718dd7f71d:0x9dbb50b003f0b6ce
8,2021-02-10 20:39:41.144,5,0x89ba97718dd7f71d:0x9dbb50b003f0b6ce
9,2020-08-27 23:24:57.147,5,0x89ba97718dd7f71d:0x9dbb50b003f0b6ce
10,2020-10-11 11:06:20.889,3,0x89ba97718dd7f71d:0x9dbb50b003f0b6ce
11,2021-03-07 06:30:06.829,5,0x89ba97718dd7f71d:0x9dbb50b003f0b6ce
12,2020-09-22 00:50:35.070,5,0x89ba97718dd7f71d:0x9dbb50b003f0b6ce
13,2020-10-24 20:39:52.323,5,0x89ba97718dd7f71d:0x9dbb50b003f0b6ce
14,2021-08-28 21:09:21.225,5,0x89ba97718dd7f71d:0x9dbb50b003f0b6ce
15,2021-04-11 22:30:54.049,5,0x89ba97718dd7f71d:0x9dbb50b003f0b6ce
16,2021-02-16 22:25:51.575,5,0x89ba97718dd7f71d:0x9dbb50b003f0b6ce
17,2020-09-13 21:43:05.403,5,0x89ba97718dd7f71d:0x9dbb50b003f0b6ce
18,2021-04-11 22:57:06.623,1,0x89ba97718dd7f71d:0x9dbb50b003f0b6ce
19,2020-10-11 15:39:00.446,5,0x89ba97718dd7f71d:0x9dbb50b003f0b6ce
20,2021-04-26 15:01:00.296,5,0x89ba97718dd7f71d:0x9dbb50b003f0b6ce
21,2021-01-21 22:56:10.261,4,0x89ba97718dd7f71d:0x9dbb50b003f0b6ce
22,2020-10-19 21:37:58.291,4,0x89ba97718dd7f71d:0x9dbb50b003f0b6ce
23,2021-04-27 02:31:20.252,4,0x89ba97718dd7f71d:0x9dbb50b003f0b6ce
24,2020-10-25 17:48:44.730,4,0x89ba97718dd7f71d:0x9dbb50b003f0b6ce
25,2021-04-07 19:54:41.913,1,0x89b0834c0a27e3e1:0xf78b7fa7b69597f5
26,2021-06-01 05:26:16.149,4,0x89b0834c0a27e3e1:0xf78b7fa7b69597f5
27,2021-03-09 11:31:42.593,5,0x89b0834c0a27e3e1:0xf78b7fa7b69597f5
28,2020-10-09 11:08:16.326,5,0x89b0834c0a27e3e1:0xf78b7fa7b69597f5
29,2019-11-06 19:26:31.006,5,0x89b0834c0a27e3e1:0xf78b7fa7b69597f5
30,2018-12-06 20:28:24.145,4,0x89b0834c0a27e3e1:0xf78b7fa7b69597f5
